product_category_name_english,orders_sales,items,revenue,freight,orders_satisfaction,average_rating,negative_rate,one_star_rate
health_beauty,8836,9670,1258681.34,182566.73,8836,4.1427682737169516,13.696215655780197,11.207879730430275
watches_gifts,5624,5991,1205005.68,100535.93,5624,4.019159663865546,16.252100840336134,12.621848739495798
bed_bath_table,9417,11115,1036988.68,204693.04,9417,3.8956631049654304,18.96381431265152,14.492233096884261
sports_leisure,7720,8641,988048.97,168607.51,7720,4.107986111111111,14.583333333333334,11.898148148148149
computers_accessories,6689,7827,911954.32,147318.08,6689,3.9308192126385526,18.61383615747229,14.9573194037457
furniture_decor,6449,8334,729762.49,172749.3,6449,3.9034929780338494,19.45744808546393,15.124234785740006
cool_stuff,3632,3796,635290.85,84039.1,3632,4.146341463414634,13.12301166489926,9.994697773064686
housewares,5884,6964,632248.66,146149.11,5884,4.055019444044361,15.641653463920496,12.055307503960824
auto,3897,4235,592720.11,92664.21,3897,4.065511511986708,15.262283408497506,11.796819368620936
garden_tools,3518,4347,485256.46,98962.75,3518,4.042735042735043,16.077616077616078,12.82051282051282
toys,3886,4117,483946.6,77425.95,3886,4.158640919090687,13.493033488144707,10.975311659740894
baby,2885,3065,411764.89,68353.11,2885,4.011811023622047,16.6994750656168,13.32020997375328
perfumery,3162,3419,399124.87,54213.84,3162,4.161940952937737,14.557147033031278,11.48786904413914
telephony,4199,4545,323667.52999999997,71215.79,4199,3.946867389860527,16.847465131724597,12.840380783706
office_furniture,1273,1691,273960.7,68571.95,1273,3.4931831653823355,26.081802015411977,21.04327208061648
stationery,2311,2517,230943.23,46798.48,2311,4.193857199840447,13.083366573593938,9.852413242919825
computers,181,203,222963.13,9836.3,181,4.175,13.0,12.0
pet_shop,1710,1947,214315.41,39561.24,1710,4.185146982980918,12.94481691593605,9.902011346054667
musical_instruments,628,680,191498.88,18638.49,628,4.152592592592592,14.074074074074074,10.074074074074074
small_appliances,630,679,190648.58,16020.25,630,4.149187592319055,14.32791728212703,11.078286558345644
unknown,1473,1627,185049.76,28613.14,1473,3.8329223181257706,22.256473489519113,18.249075215782984
electronics,2550,2767,160246.74,46578.32,2550,4.037468170243725,15.751182248090215,11.786104037831938
consoles_games,1062,1137,157465.22,19828.02,1062,4.0230700976042595,15.350488021295474,12.33362910381544
fashion_bags_accessories,1864,2031,152823.54,31450.0,1864,4.144678764100049,12.702305051495832,10.102991662579695
construction_tools_construction,748,929,144677.59,20650.41,748,4.052915766738661,15.118790496760258,11.879049676025918
luggage_accessories,1034,1092,140429.98,30445.23,1034,4.315257352941177,9.650735294117647,7.352941176470589
home_appliances_2,234,238,113317.74,10600.18,234,4.142857142857143,12.605042016806722,8.823529411764707
home_construction,490,604,83088.12,13832.24,490,3.94,17.833333333333336,11.666666666666666
home_appliances,764,771,80171.53,14818.9,764,4.172456575682382,12.034739454094293,10.173697270471465
agro_industry_and_commerce,182,212,72530.47,5843.6,182,4.0,16.037735849056602,12.735849056603774
furniture_living_room,422,503,68916.56,17968.170000000002,422,3.904382470119522,18.127490039840637,13.346613545816732
fixed_telephony,217,264,59583.0,4637.81,217,3.683206106870229,25.572519083969464,19.083969465648856
home_confort,397,434,58572.04,8501.23,397,3.829885057471264,20.229885057471265,16.551724137931036
air_conditioning,253,297,55024.96,6749.23,253,3.969178082191781,17.80821917808219,15.068493150684931
audio,350,364,50688.5,5710.44,350,3.8254847645429364,21.88365650969529,16.62049861495845
small_appliances_home_oven_and_coffee,75,76,47445.71,2747.86,75,4.302631578947368,10.526315789473683,9.210526315789473
books_general_interest,512,553,46856.88,9195.52,512,4.446265938069216,8.561020036429873,7.103825136612022
kitchen_dining_laundry_garden_furniture,248,281,46328.37,11999.43,248,3.9642857142857144,15.714285714285714,13.571428571428571
construction_tools_lights,244,304,41080.0,7583.8,244,4.054054054054054,14.527027027027026,8.783783783783784
construction_tools_safety,167,194,40544.52,3919.1,167,3.844559585492228,20.207253886010363,18.134715025906736
industry_commerce_and_business,235,268,39669.61,7884.68,235,4.101503759398496,13.533834586466165,10.150375939849624
food,450,510,29393.41,7271.03,450,4.218181818181818,12.929292929292929,10.303030303030303
market_place,280,311,28378.47,5456.06,280,4.019417475728155,14.239482200647249,11.326860841423949
costruction_tools_garden,194,238,25715.89,5311.4,194,4.054166666666666,17.5,13.333333333333334
art,202,209,24202.64,4045.17,202,3.9371980676328504,18.357487922705314,14.975845410628018
fashion_shoes,240,262,23562.77,4918.87,240,4.233716475095785,12.260536398467432,8.812260536398467
drinks,297,379,22428.7,5741.25,297,4.047745358090186,14.588859416445624,12.73209549071618
signaling_and_security,140,199,21509.23,6507.820000000001,140,4.086294416243655,11.6751269035533,10.152284263959391
furniture_bedroom,95,109,20028.78,4632.23,95,4.118181818181818,16.363636363636363,12.727272727272727
books_technical,260,267,19096.06,4283.06,260,4.368421052631579,10.902255639097744,8.270676691729323
